customer_id,first_name,last_name,email,country,signup_date,marketing_opt_in
10001,Camila,Campos,CAMILA.CAMPOS10001@EXAMPLE.COM,CL,2026-04-11,true
10002,Paula,Aguilar,Paula.Aguilar10002@example.com,ES,2025-03-01,false
10003,Felipe,Rodriguez,FELIPE.RODRIGUEZ10003@EXAMPLE.COM,AR,2025-06-11,true
10004,Laura,Martinez,  LAURA.MARTINEZ10004@EXAMPLE.COM ,CO,2025-09-10,false
10005,Luis,Vargas,Luis.Vargas10005@example.com,US,2025-11-18,true
10006,EMMA,gonzalez,Emma.Gonzalez10006@example.com,BR,2026-04-15,false
10007,Daniela,Lopez,Daniela.Lopez10007@example.com,US,2025-09-08,true
10008,Diego,Morales,Diego.Morales10008@example.com,CO,2025-01-09,false
10009,Felipe,Flores,FELIPE.FLORES10009@EXAMPLE.COM,ES,2026-07-21,true
10010,Javier,Vargas,Javier.Vargas10010@example.com,US,2025-09-15,false
10011,Bruno,Rodriguez,Bruno.Rodriguez10011@example.com,us,2025-09-26,true
10012,Julia,Silva,Julia.Silva10012@example.com,AR,2025-06-02,true
10013,Marta,Gomez,MARTA.GOMEZ10013@EXAMPLE.COM,BR,2025-02-10,false
10014,Camila,Herrera,CAMILA.HERRERA10014@EXAMPLE.COM,US,2025-06-08,false
10015,Lucas,Campos,Lucas.Campos10015@example.com,US,2025-12-07,false
10016,Nicolas,Molina,Nicolas.Molina10016@example.com,BR,2026-01-27,false
10017,Bruno,Cruz,Bruno.Cruz10017@example.com,US,2025-08-22,true
10018,Sebastian,Sanchez,  Sebastian.Sanchez10018@example.com ,CL,2026-06-06,true
10019,Marta,Silva,MARTA.SILVA10019@EXAMPLE.COM,CL,2025-09-29,true
10020,TOMAS,reyes,Tomas.Reyes10020@example.com,CL,2025-07-14,true
10021,Paula,Reyes,Paula.Reyes10021@example.com,US,2025-07-21,true
10022,Sofia,Herrera,Sofia.Herrera10022@example.com,ES,2026-06-04,true
10023,Nicolas,Rivera,Nicolas.Rivera10023@example.com,CL,2025-06-28,false
10024,Javier,Diaz,JAVIER.DIAZ10024@EXAMPLE.COM,MX,2025-11-26,true
10025,Julia,Herrera,Julia.Herrera10025@example.com,US,2025-03-28,true
10026,Sebastian,Rojas,SEBASTIAN.ROJAS10026@EXAMPLE.COM,BR,2025-07-23,true
10027,Luis,Ramirez,Luis.Ramirez10027@example.com,ES,2025-07-19,false
10028,Emma,Cruz,EMMA.CRUZ10028@EXAMPLE.COM,CL,2025-04-20,false
10029,Lucas,Perez,Lucas.Perez10029@example.com,CO,2025-05-05,true
10030,Ricardo,Morales,Ricardo.Morales10030@example.com,BR,2026-06-01,true
10031,Hugo,Silva,HUGO.SILVA10031@EXAMPLE.COM,MX,2025-10-11,false
10032,Laura,Cruz,  Laura.Cruz10032@example.com ,BR,2025-11-24,false
10033,Sofia,Gonzalez,Sofia.Gonzalez10033@example.com,US,2025-12-05,true
10034,Nicolas,Rodriguez,Nicolas.Rodriguez10034@example.com,US,2026-01-25,true
10035,Pablo,Flores,Pablo.Flores10035@example.com,AR,2026-07-14,false
10036,Lucia,Ramirez,Lucia.Ramirez10036@example.com,MX,2026-02-19,false
10037,Marta,Morales,Marta.Morales10037@example.com,PE,2025-01-28,true
10038,Nicolas,Gonzalez,NICOLAS.GONZALEZ10038@EXAMPLE.COM,PE,2025-12-12,false
10039,EMMA,torres,Emma.Torres10039@example.com,ar,2026-07-07,true
10040,Pablo,Ramirez,Pablo.Ramirez10040@example.com,BR,2025-07-24,false
10041,Tomas,Gonzalez,Tomas.Gonzalez10041@example.com,US,2025-09-20,false
10042,Diego,Vargas,Diego.Vargas10042@example.com,BR,2025-04-21,false
10043,Hugo,Flores,Hugo.Flores10043@example.com,BR,2025-09-06,true
10044,Elena,Flores,Elena.Flores10044@example.com,CO,2025-12-22,true
10045,Sebastian,Gomez,  Sebastian.Gomez10045@example.com ,US,2026-03-20,false
10046,Carla,Fuentes,Carla.Fuentes10046@example.com,CO,2025-10-04,false
10047,Hugo,Silva,Hugo.Silva10047@example.com,AR,2025-09-09,false
10048,Sofia,Torres,Sofia.Torres10048@example.com,PE,2025-01-30,true
10049,Martina,Perez,Martina.Perez10049@example.com,MX,2025-10-10,false
10050,Laura,Sanchez,Laura.Sanchez10050@example.com,US,2026-05-18,true
10051,Ana,Martinez,Ana.Martinez10051@example.com,US,2026-07-21,true
10052,Nicolas,Aguilar,Nicolas.Aguilar10052@example.com,MX,2025-07-17,true
10053,Gabriel,Silva,Gabriel.Silva10053@example.com,ES,2026-06-22,false
10054,Mateo,Suarez,Mateo.Suarez10054@example.com,us,2025-10-08,true
10055,LUIS,silva,Luis.Silva10055@example.com,US,2025-01-13,false
10056,Andres,Cruz,  ANDRES.CRUZ10056@EXAMPLE.COM ,MX,2025-03-08,true
10057,Sofia,Castro,SOFIA.CASTRO10057@EXAMPLE.COM,BR,2025-09-12,true
10058,Elena,Reyes,Elena.Reyes10058@example.com,BR,2026-03-30,true
10059,Daniela,Reyes,Daniela.Reyes10059@example.com,CL,2025-08-01,false
10060,Isabella,Herrera,Isabella.Herrera10060@example.com,US,2026-04-27,true
10061,Lucas,Flores,Lucas.Flores10061@example.com,AR,2025-07-22,true
10062,Felipe,Ramirez,Felipe.Ramirez10062@example.com,br,2025-11-11,false
10063,Marta,Castro,Marta.Castro10063@example.com,ES,2025-10-06,true
10064,Andres,Morales,ANDRES.MORALES10064@EXAMPLE.COM,US,2025-04-04,true
10065,Sebastian,Suarez,  Sebastian.Suarez10065@example.com ,PE,2025-02-11,false
10066,Diego,Cruz,Diego.Cruz10066@example.com,MX,2026-05-19,false
10067,Andres,Gomez,Andres.Gomez10067@example.com,CL,2026-05-23,true
10068,EMMA,suarez,  EMMA.SUAREZ10068@EXAMPLE.COM ,AR,2026-02-18,false
10069,Marta,Garcia,Marta.Garcia10069@example.com,BR,2026-05-26,false
10070,Elena,Rodriguez,Elena.Rodriguez10070@example.com,US,2025-05-05,true
10071,Carla,Vargas,Carla.Vargas10071@example.com,co,2025-08-19,false
10072,Hugo,Lopez,HUGO.LOPEZ10072@EXAMPLE.COM,MX,2026-06-06,false
10073,Nicolas,Suarez,Nicolas.Suarez10073@example.com,MX,2026-06-05,false
10074,Valentina,Campos,Valentina.Campos10074@example.com,US,2025-10-01,false
10075,JAVIER,aguilar,Javier.Aguilar10075@example.com,US,2026-07-06,true
10076,Martina,Silva,Martina.Silva10076@example.com,AR,2025-09-02,false
10077,Lucas,Campos,LUCAS.CAMPOS10077@EXAMPLE.COM,AR,2026-01-31,false
10078,Ricardo,Suarez,RICARDO.SUAREZ10078@EXAMPLE.COM,BR,2025-12-06,false
10079,Bruno,Campos,Bruno.Campos10079@example.com,MX,2025-06-08,true
10080,Ricardo,Torres,Ricardo.Torres10080@example.com,CL,2026-07-01,true
