customer_id,first_name,last_name,email,country,signup_date,marketing_opt_in
10701,ELENA,ramirez,Elena.Ramirez10701@example.com,CL,2026-08-12,true
10702,Andres,Ortiz,ANDRES.ORTIZ10702@EXAMPLE.COM,MX,2026-08-10,true
10703,Pablo,Molina,Pablo.Molina10703@example.com,BR,2026-08-29,true
10704,Sofia,Diaz,Sofia.Diaz10704@example.com,PE,2026-08-23,true
10705,Valentina,Campos,  Valentina.Campos10705@example.com ,US,2026-08-30,true
10706,Pablo,Reyes,Pablo.Reyes10706@example.com,mx,2026-08-08,false
10707,Laura,Rojas,Laura.Rojas10707@example.com,CL,2026-08-22,false
10708,Marta,Silva,Marta.Silva10708@example.com,MX,2026-08-09,true
10709,Pablo,Flores,PABLO.FLORES10709@EXAMPLE.COM,AR,2026-08-30,true
10710,Felipe,Flores,FELIPE.FLORES10710@EXAMPLE.COM,US,2026-08-06,true
10711,Luis,Rivera,Luis.Rivera10711@example.com,BR,2026-08-22,true
10712,Pablo,Gonzalez,Pablo.Gonzalez10712@example.com,CL,2026-08-13,false
10713,Elena,Gonzalez,Elena.Gonzalez10713@example.com,ES,2026-08-17,true
10714,Paula,Flores,Paula.Flores10714@example.com,MX,2026-08-05,false
10715,GABRIEL,vega,Gabriel.Vega10715@example.com,ES,2026-08-22,false
10716,JAVIER,garcia,Javier.Garcia10716@example.com,cl,2026-08-21,true
10717,Laura,Ramirez,Laura.Ramirez10717@example.com,co,2026-08-22,false
10718,SOFIA,ortiz,Sofia.Ortiz10718@example.com,CL,2026-08-22,true
10719,Valentina,Medina,Valentina.Medina10719@example.com,CO,2026-08-15,false
10720,Sofia,Sanchez,Sofia.Sanchez10720@example.com,AR,2026-08-26,false
10721,LUCIA,reyes,Lucia.Reyes10721@example.com,AR,2026-08-10,true
10722,BRUNO,ortiz,BRUNO.ORTIZ10722@EXAMPLE.COM,ES,2026-08-14,false
10723,Isabella,Reyes,Isabella.Reyes10723@example.com,US,2026-08-27,true
10724,Felipe,Cruz,Felipe.Cruz10724@example.com,US,2026-08-15,true
10725,RICARDO,garcia,Ricardo.Garcia10725@example.com,US,2026-08-22,false
10726,Nicolas,Perez,Nicolas.Perez10726@example.com,MX,2026-08-03,false
10727,Pablo,Castro,Pablo.Castro10727@example.com,MX,2026-08-27,true
10728,Laura,Aguilar,Laura.Aguilar10728@example.com,br,2026-08-29,false
10729,PABLO,perez,Pablo.Perez10729@example.com,US,2026-08-10,true
10730,Hugo,Martinez,Hugo.Martinez10730@example.com,mx,2026-08-18,true
10731,Martina,Suarez,Martina.Suarez10731@example.com,CO,2026-08-18,false
10732,Marta,Gonzalez,Marta.Gonzalez10732@example.com,US,2026-08-30,true
10733,Camila,Gonzalez,Camila.Gonzalez10733@example.com,MX,2026-08-31,true
10734,FELIPE,medina,Felipe.Medina10734@example.com,MX,2026-08-27,true
10735,Ana,Cruz,Ana.Cruz10735@example.com,CL,2026-08-17,false
10736,Martina,Perez,MARTINA.PEREZ10736@EXAMPLE.COM,AR,2026-08-05,false
10737,JAVIER,gonzalez,Javier.Gonzalez10737@example.com,US,2026-08-01,false
10738,ELENA,reyes,ELENA.REYES10738@EXAMPLE.COM,US,2026-08-04,false
